ISIN,Description,Market_Value,Percentage,Category,Currency,Page
"","CITIGROUP 0% MTN 2024-09.07.34 REGS",1101100,5.66,"other","Unknown",9
"","GS 10Y CALLABLE NOTE 2024-18.06.2034",2570405,13.21,"other","Unknown",9
"","BOFA 5.6% 2024-29.05.34 REGS",478158,2.46,"other","Unknown",9
"","CITIGROUP GLBL 5.65 % CALL FIXED RATE NOTES 2024-",50000,0.25,"other","Unknown",9
"","BK JULIUS BAER CAP.PROT.(3,25% MIN.4,5% MAX)23-26.05.28",350000,1.76,"other","Unknown",10
"","PREMIUM ALT.S.A. SICAV-SIF - COMMERCIAL FINANCE OPP.XB",115613,0.59,"other","Unknown",10
"","WELLS FARGO 0 % EURO MEDIUM TERM NOTES 2025-28.03.36",800000,4.11,"other","Unknown",10
"","DEUTSCHE BANK 0 % NOTES 2025-14.02.35",1480584,7.61,"other","Unknown",10
"","GOLDMAN SACHS 0% NOTES 2025-03.02.2035",50000,0.25,"other","Unknown",10
"","JPMORGAN CHASE 0% NOTES 2024-19.12.2034",505500,2.6,"other","Unknown",10
"","BANK OF AMERICA 0 % NOTES 2024-11.12.34 REG S",150000,0.75,"other","Unknown",10
"","GOLDMAN SACHS 0% EURO MEDIUM TERM NOTES 2024-",250000,1.24,"other","Unknown",10
"","thereof Bond funds / certficates",1361466,6.99,"other","Unknown",11
"","thereof Bonds",11002508,56.53,"other","Unknown",11
"","Accrued interest",236748,,"other","Unknown",11
"","Total Bonds",12363974,63.52,"other","Unknown",11
"","SOCIETE GENERALE 32.46 % NOTES 2024-01.03.30 REG S",192100,0.99,"other","Unknown",11
"","DEUTSCHE BANK NOTES 23-08.11.28 VRN",711110,3.65,"other","Unknown",11
"","thereof Equities (without options)",24319,0.12,"other","Unknown",12
"","Total Equities",24319,0.12,"other","Unknown",12
"","Ordinary Stocks // PRC: 3.91",24319,-0.24,"other","Unknown",12
"","UBS GROUP INC NAMEN-AKT.",21496,0.12,"other","Unknown",12
"","LUMINIS REPACK NOTES 23-25.05.29 VRN ON 4,625%",500000,2.51,"other","Unknown",13
"","LUMINIS 5.7% STR NOTE 2024-26.04.33 WFC 24W",1623960,8.34,"other","Unknown",13
"","GOLDMAN SACHS GR.STRUCT.NOTE 21-20.12.28 VRN ON NAT",500000,2.49,"other","Unknown",13
"","EMERALD BAY NOTES 23-17.09.29 S.2023-05 REG-S VRN",704064,3.62,"other","Unknown",13
"","",1200000,5.93,"other","Unknown",13
"","BNP PARIBAS ISS STRUCT.NOTE 21-08.01.29 ON DBDK 29 631",502305,2.58,"other","Unknown",13
"","BCO SAFRA CAYMAN 5% STRUCT.NOTE 2022-21.06.27 3,4%",200000,1.01,"other","Unknown",13
"","thereof Structured products (Equities)",989800,5.09,"other","Unknown",14
"","thereof Structured products (Bonds)",5956439,30.6,"other","Unknown",14
"","Accrued interest",108309,,"other","Unknown",14
"","Total Structured products",6946239,35.69,"other","Unknown",14
"","NOVUS CAPITAL STRUCTURED NOTES 20-15.05.26 ON CS",1000000,5.09,"other","Unknown",14
"","NOVUS CAPITAL STRUCT.NOTE 2021-12.01.28 VRN ON",510114,2.62,"other","Unknown",14
"","NOVUS CAPITAL CREDIT LINKED NOTES 2023-27.09.2029",200000,0.99,"other","Unknown",14
"","NATIXIS STRUC.NOTES 19-20.6.26 VRN ON 4,75%METLIFE 21",100000,0.51,"other","Unknown",14
"","thereof Hedge funds & Private Equity",26129,0.13,"other","Unknown",15
"","Total Other assets",26129,0.13,"other","Unknown",15
"","EXIGENT ENHANCED INCOME FUND LTD SHS A SERIES 2019 1",26129,0.13,"other","Unknown",15
"","",16878474,100,"other","Unknown",16
"","",16878474,100,"other","Unknown",16
"","Total in currency",2029,,"other","Unknown",16
"","",146761,,"other","Unknown",16
"","",146761,,"other","Unknown",16
